,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
1341,1001,universidade tecnologica federal do parana utfpr,35177,14.0,1.0,35.0,22.1,15.4,9.2,8.6,37.3,19.3,"3165 - Rebouças, Curitiba, 80230-901, Brazil",,,,,,Brazil, Curitiba,-25.4295963,-49.2712724
1342,1001,universiti teknologi mara,54483,17.1,0.0,66.0,22.1,18.1,12.8,10.9,34.7,18.3,"Shah Alam, Darul Ehsan, Selangor, 40450, Malaysia",,,,,,Malaysia,Shah Alam,3.0733644,101.5195149
1343,1001,institut teknologi sepuluh nopember,14624,10.6,4.0,26.0,22.1,19.6,11.1,23.4,62.6,34.7,"Jalan Raya ITS, Surabaya, Jawa Timur, 60111, Indonesia",,,,,,Indonesia, Surabaya,-7.2459717,112.7378266
1344,1001,texas state university,31893,19.1,1.0,58.0,22.1,17.4,14.3,27.3,36.4,30.4,"601 University Drive, San Marcos, Texas, 78666-4684, United States",,,,,,United States, San Marcos,29.8826436,-97.9405828
1345,1001,thammasat university,33506,12.1,1.0,65.0,22.1,18.6,11.7,11.7,38.9,34.4,"2 Prachan Road Phra Barom Maha Ratchawang, Phra Nakhon, Bangkok, 10200, Thailand",,,,,,Thailand, Phra Nakhon,13.7526168,100.4933634
1346,1001,tobb university economics and technology,5836,16.8,1.0,47.0,22.1,15.7,11.1,23.4,35.3,24.9,"Sögütözü Avenue 43, Sögütözü, Ankara, 06560, Turkey",,,,,,Turkey, Ankara,39.9207886,32.8540482
1347,1001,toho university,5204,13.2,1.0,50.0,22.1,21.7,13.5,25.8,39.1,17.3,"5-21-16 Omorinishi, Ota-ku, Tokyo, 143-8540, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1349,1001,tokat gaziosmanpasa university,23679,20.9,2.0,46.0,22.1,13.1,7.7,17.8,34.6,16.6,"Tokat, 60250, Turkey",,,,,,Turkey,Tokat,40.38658275,36.656546010111526
1350,1001,university tokushima,7553,8.7,3.0,35.0,22.1,26.5,19.1,15.0,55.1,22.6,"2-24, Shinkura-cho, Tokushima, 770-8501, Japan",,,,,,Japan, Tokushima,33.9196418,134.2509634
1351,1001,tokyo university agriculture,12221,33.9,2.0,41.0,22.1,16.0,9.8,10.5,36.4,19.1,"1-1-1 Sakuragaoka, Setagaya, Tokyo, 156 8502, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1352,1001,tokyo city university,7481,14.9,1.0,23.0,22.1,16.7,10.3,6.8,41.6,19.0,"1-28-1 Tamazutsumi, Setagaya-ku, Tokyo, 158-8557, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1353,1001,tokyo denki university,9285,25.6,2.0,12.0,22.1,15.2,9.3,3.4,39.6,17.7,"5 Senju Asahi-cho, Adachi-ku, Tokyo, 120-8551, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1354,1001,tokyo university marine science and technology,2654,10.7,7.0,33.0,22.1,24.3,13.9,10.4,47.7,33.3,"4-5-7 Konan, Minato-ku, Tokyo, 108-8477, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1356,1001,tottori university,6096,7.5,2.0,36.0,22.1,21.6,10.8,12.4,37.3,19.9,"4-101 Koyama-cho Minami, Tottori, 680-8550, Japan",,,,,,Japan, Tottori,35.3555075,133.8678525
1357,1001,university toyama,9133,12.0,3.0,40.0,22.1,21.1,13.0,20.3,44.4,27.3,"3190 Gofuku, Toyama-shi, Toyama, 930-8555, Japan",,,,,,Japan, Toyama,36.6468015,137.2183531
1358,1001,toyo university,32404,30.5,5.0,42.0,22.1,15.0,8.7,6.6,35.3,30.8,"5-28-20 Hakusan, Bunkyo-ku, Tokyo, 112-8606, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
1359,1001,toyohashi university technology tut,2135,8.8,7.0,9.0,22.1,21.9,16.7,16.3,51.1,26.0,"1-1 Hibarigaoka Tenpaku-cho, Toyohashi, Aichi, 441-8580, Japan",,,,,,Japan, Toyohashi,34.769123,137.391461
1360,1001,tribhuvan university,418053,36.0,0.0,45.0,22.1,11.4,6.9,30.8,34.4,45.8,"Central Administrative Building, Kathmandu Nepal, Kirtipur, Nepal",,,,,,Nepal, Kirtipur,27.676664,85.2782438
1361,1001,tunghai university,15704,26.8,10.0,54.0,22.1,15.0,12.6,10.6,37.7,34.6,"No.1727, Sec.4, Taiwan Boulevard, Xitun, Taichung, 40704, Taiwan",,,,,,Taiwan, Taichung,24.163162,120.6478282
1365,1001,universidade do vale do rio dos sinos,21715,23.7,0.0,51.0,22.1,18.4,10.0,21.5,46.3,19.7,"Avenida Unisinos, 950 - Cristo Rei, São Leopoldo, 93022-750, Brazil",,,,,,Brazil, São Leopoldo,-29.7544405,-51.1516497
1368,1001,utsunomiya university,4872,13.4,4.0,36.0,22.1,18.0,10.3,6.0,36.6,22.8,"350, Mine, Utsunomiya-City, Tochigi, 321-8505, Japan",,,,,,Japan, Mine,34.1666165,131.2054466
