,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
315,301,constructor university,1142,16.2,76.0,45.0,46.8,40.6,33.2,50.7,55.1,88.7,"Campus Ring 1, Bremen, 28579, Germany",,,,,,Germany, Bremen,53.0758196,8.8071646
316,301,johannes gutenberg university mainz,31919,26.9,11.0,59.0,46.8,35.2,22.6,77.4,68.9,56.7,"Saarstr. 21 D 55122, Mainz, Germany",,,,,,Germany, Mainz,50.0012314,8.2762513
318,301,kyung hee university,22102,17.3,22.0,51.0,46.8,33.8,40.5,56.4,84.9,62.6,"26, Kyungheedae-ro, Dongdaemun-gu, Seoul, 02447, South Korea",,,,,,South Korea, Seoul,37.5666791,126.9782914
319,301,university liege,20888,27.0,21.0,56.0,46.8,27.6,38.2,60.5,95.9,70.6,"Place du 20-Août 7, Liege, 4000, Belgium",,,,,,Belgium, Belgium,50.6402809,4.6667145
323,301,maynooth university,9291,28.3,12.0,55.0,46.8,20.3,29.8,80.3,37.3,78.2,"Maynooth, County Kildare, Ireland",,,,,,Ireland,Maynooth,53.38001345,-6.591600317241495
324,301,university milan,45451,21.4,6.0,59.0,46.8,35.9,28.9,72.2,37.7,42.6,"Via Festa del Perdono 7, Milano, 20122, Italy",,,,,,Italy, Italy,42.6384261,12.674297
329,301,north carolina state university,30231,12.5,15.0,45.0,46.8,36.7,35.3,64.7,43.2,57.8,"Raleigh, North Carolina, 27695, United States",,,,,,United States,Raleigh,35.7803977,-78.6390989
330,301,nova southeastern university,17785,23.4,6.0,69.0,46.8,33.8,10.3,99.5,34.4,29.5,"3301 College Avenue, Fort Lauderdale, Florida, 33314-7796, United States",,,,,,United States, Fort Lauderdale,26.1223084,-80.1433786
331,301,osaka university,22892,7.4,11.0,32.0,46.8,51.5,49.0,34.6,63.0,36.0,"1-1 Yamadaoka, Suita, Osaka, 565-0871, Japan",,,,,,Japan, Suita,34.764884,135.51735
332,301,politecnico di milano,35184,25.0,17.0,34.0,46.8,33.1,35.2,59.6,72.5,59.0,"Piazza Leonardo da Vinci 32, Milano, 20133, Italy",,,,,,Italy, Italy,42.6384261,12.674297
334,301,rush university,2425,2.0,1.0,74.0,46.8,37.2,12.9,92.1,41.3,19.7,"600 South Paulina St., Suite 440, Chicago, Illinois, 60612, United States",,,,,,United States, Chicago,41.8755616,-87.6244212
335,301,southern university science and technology sustech,3198,9.5,0.0,27.0,46.8,23.9,23.5,85.3,70.5,59.7,"No 1088, Xueyuan Rd, Nanshan District, Shenzhen, Guangdong, 518055, China",,,,,,China, Shenzhen,22.5445741,114.0545429
336,301,stony brook university,24201,10.5,23.0,50.0,46.8,34.4,23.5,77.0,36.1,71.5,"Stony Brook, New York, 11794, United States",,,,,,United States,Stony Brook,40.9256538,-73.140943
339,301,university tartu,8532,11.6,8.0,68.0,46.8,26.8,27.1,82.4,37.5,55.4,"Ülikooli 18, Tartu, 50090, Estonia",,,,,,Estonia, Tartu,58.3801207,26.72245
340,301,university tasmania,18219,24.9,30.0,60.0,46.8,26.0,33.7,63.0,50.1,88.2,"Churchill Avenue, Sandy Bay, Hobart, Tasmania, TAS 7001, Australia",,,,,,Australia, Sandy Bay,-42.897129,147.3273528
341,301,temple university,35814,13.0,9.0,53.0,46.8,39.3,23.5,79.3,34.4,37.7,"1801 N. Broad Street, Philadelphia, Pennsylvania, 19122, United States",,,,,,United States, Philadelphia,39.9527237,-75.1635262
342,301,university tennessee knoxville,25907,16.8,5.0,,46.8,32.9,23.4,80.3,43.9,45.7,"Knoxville, Tennessee, 37996, United States",,,,,,United States,Knoxville,35.9603948,-83.9210261
343,301,university texas dallas,22757,21.6,25.0,43.0,46.8,23.7,29.3,82.1,39.9,60.2,"800 W. Campbell Road, Richardson, Texas, 75080-3021, United States",,,,,,United States, Richardson,32.9481789,-96.7297206
344,301,university trento,12920,19.5,7.0,51.0,46.8,27.7,31.7,77.8,41.5,57.7,"Via Calepina, 14, Trento, 38122, Italy",,,,,,Italy, Trento,46.1029536,11.12974249416882
345,301,tulane university,11185,9.8,11.0,57.0,46.8,42.3,24.1,72.7,37.0,41.9,"6823 St Charles Ave, New Orleans, Louisiana, 70118-5645, United States",,,,,,United States, New Orleans,29.9759983,-90.0782127
348,301,university college cork,16861,18.0,18.0,58.0,46.8,24.9,23.1,77.5,44.5,81.3,"Western Road, Cork, Ireland",,,,,,Ireland, Cork,51.897077,-8.4654674
349,301,victoria university,14815,32.2,23.0,53.0,46.8,24.0,26.0,75.3,42.8,77.9,"Ballarat Road, Footscray, Victoria, VIC 3011, Australia",,,,,,Australia, Footscray,-37.801366,144.9024240873921
350,351,university alaska fairbanks,3593,8.7,5.0,51.0,44.4,27.5,25.0,72.5,43.8,53.9,"1731 South Chandalar Drive, Fairbanks, Alaska, 99775, United States",,,,,,United States, Fairbanks,64.837845,-147.716675
351,351,american university beirut,8401,8.5,21.0,51.0,44.4,28.7,14.9,77.1,36.7,78.2,"PO Box 11-0236, Riad El-Solh, Beirut 1107 2020, Lebanon",,,,,,Lebanon, Lebanon,33.8750629,35.843409
352,351,australian catholic university,23886,43.5,12.0,73.0,44.4,20.6,27.5,73.4,39.4,74.3,"40 Edward Street, North Sydney, Sydney, New South Wales, NSW 2060, Australia",,,,,,Australia, North Sydney,-33.8354519,151.2083011
355,351,birkbeck university london,8630,15.8,38.0,54.0,44.4,27.6,31.5,62.8,34.5,87.4,"Malet Street, Bloomsbury, London, WC1E 7HX, United Kingdom",,,,,,United Kingdom, Bloomsbury,51.5210963,-0.1289635
356,351,university bremen,18915,31.9,12.0,51.0,44.4,36.9,36.1,56.0,49.0,55.7,"Bibliothekstraße 1, Bremen, 28359, Germany",,,,,,Germany, Bremen,53.0758196,8.8071646
357,351,brunel university london,10960,16.4,36.0,47.0,44.4,26.9,26.9,63.2,36.8,95.3,"Kingston Lane, Uxbridge, Hillingdon, UB8 3PH, United Kingdom",,,,,,United Kingdom, Uxbridge,51.5449509,-0.4816672
358,351,university california merced,7324,20.9,8.0,51.0,44.4,17.1,21.6,95.3,38.0,42.4,"5200 North Lake Rd., Merced, California, 95343, United States",,,,,,United States, Merced,37.1641544,-120.7678602
360,351,clark university,3045,11.5,23.0,60.0,44.4,24.0,22.7,79.3,34.4,57.5,"950 Main Street, Worcester, Massachusetts, 01610, United States",,,,,,United States, Worcester,42.2625621,-71.8018877
361,351,university connecticut,32446,15.2,9.0,53.0,44.4,36.5,29.7,60.6,37.9,49.0,"2131 Hillside Road, Storrs, Connecticut, 06269, United States",,,,,,United States, Storrs,41.80564555,-72.25413294148728
362,351,university crete,13321,23.4,4.0,62.0,44.4,17.7,20.1,91.4,38.7,48.0,"Rethymnon, Crete, 74100, Greece",,,,,,Greece, Crete,35.3084952,24.46334231842296
363,351,university denver,9535,13.0,9.0,57.0,44.4,40.5,22.3,75.4,35.8,27.8,"2199 South University Blvd, Denver, Colorado, 80208, United States",,,,,,United States, Denver,39.7392364,-104.984862
364,351,university florence,34686,20.4,11.0,59.0,44.4,37.9,25.1,65.8,42.3,46.2,"P.zza S.Marco 4, Firenze, Florence, 50121, Italy",,,,,,Italy, Florence,43.7698712,11.2555757
365,351,goldsmiths university london,8485,15.3,35.0,66.0,44.4,33.8,28.6,60.4,35.1,79.4,"New Cross, London, SE14 6NW, United Kingdom",,,,,,United Kingdom,New Cross,51.4763706,-0.0326237
366,351,hanyang university,20087,15.7,21.0,,44.4,39.1,40.0,40.1,92.3,62.3,"222, Wangsimni-ro, Seongdong-gu, Seoul, 133-791, South Korea",,,,,,South Korea, Seoul,37.5666791,126.9782914
367,351,hasselt university,5189,31.1,13.0,47.0,44.4,28.3,38.1,56.6,49.7,68.1,"Martelarenlaan 42, 3500 Hasselt, Belgium",,,,,,Belgium, Belgium,50.6402809,4.6667145
368,351,hofstra university,10066,13.9,9.0,57.0,44.4,38.4,13.2,79.3,34.4,29.8,"105 Memorial Hall, 126 Hofstra University, Hempstead, New York, NY 11549, United States",,,,,,United States, Hempstead,33.6949319,-93.6929825
370,351,imt atlantique,1676,8.2,44.0,26.0,44.4,34.4,28.5,53.1,91.6,75.2,"La Chantrerie 4 rue Alfred Kastler, BP 20722, Nantes, Cedex 3, 44307, France",,,,,,France, Nantes,47.2186371,-1.5541362
371,351,indian institute technology indore,1128,9.7,0.0,17.0,44.4,32.5,23.7,77.1,39.9,19.7,"Khandwa Road, Simrol, Indore, 453552, India",,,,,,India, Indore,22.7203616,75.8681996
372,351,iowa state university,32469,18.8,12.0,44.0,44.4,29.5,33.0,60.5,49.6,56.7,"100 Enrollment Services Center, 2433 Union Drive, Ames, Iowa, 50011-2011, United States",,,,,,United States, Ames,42.0267567,-93.6170448
373,351,jordan university science and technology,21512,13.4,17.0,58.0,44.4,15.8,9.0,100.0,40.2,62.3,"Irbid 22110, Jordan, Jordan",,,,,,Jordan, Jordan,31.1667049,36.941628
375,351,university kent,17755,19.9,31.0,53.0,44.4,24.1,28.4,67.9,35.0,91.5,"Canterbury, Kent, CT2 7NZ, United Kingdom",,,,,,United Kingdom,Canterbury,51.2800275,1.0802533
376,351,khalifa university,3651,9.5,26.0,55.0,44.4,27.7,32.9,54.0,100.0,95.4,"PO.Box 127788, Abu Dhabi, United Arab Emirates",,,,,,United Arab Emirates, Abu Dhabi,24.4538352,54.3774014
377,351,loughborough university,14750,14.3,25.0,40.0,44.4,33.8,34.3,52.9,39.0,80.1,"Epinal Way, Loughborough, Leicestershire, LE11 3TU, United Kingdom",,,,,,United Kingdom, Loughborough,52.7723859,-1.2077985
378,351,university manitoba,29311,29.4,17.0,53.0,44.4,28.0,30.8,69.9,36.5,53.4,"Winnipeg, Manitoba, R3T 2N2, Canada",,,,,,Canada,Winnipeg,49.8955367,-97.1384584
379,351,nankai university,28061,13.3,7.0,,44.4,35.7,21.8,75.8,41.5,35.4,"94 Weijin Rd, Nankai, Tianjin, China",,,,,,China, Nankai,39.1391151,117.1410363
380,351,university naples federico ii,49604,19.6,2.0,55.0,44.4,35.4,23.4,71.9,38.2,31.2,"Corso Umberto I 40, Napoli, 80138, Italy",,,,,,Italy, Italy,42.6384261,12.674297
381,351,national tsing hua university,14853,18.0,10.0,42.0,44.4,35.4,46.2,50.1,64.8,36.2,"No. 101 Section 2, Kuang-Fu Road, Hsinchu, 30013, Taiwan",,,,,,Taiwan, Hsinchu,24.8066333,120.9686833
382,351,northumbria university,21810,17.5,17.0,55.0,44.4,19.4,18.1,85.6,35.1,72.4,"Ellison Place, Newcastle upon Tyne, Tyne and Wear, NE1 8ST, United Kingdom",,,,,,United Kingdom, Newcastle upon Tyne,54.9738474,-1.6131572
383,351,university occupational and environmental health japan,1142,2.6,1.0,54.0,44.4,26.9,9.6,99.8,40.2,18.1,"1-1, Iseigaoka Yahata-nishi-ku, Kitakyushu, Fukuoka, 807-8555, Japan",,,,,,Japan, Kitakyushu,33.8829996,130.8749015
385,351,oregon state university,24798,16.0,11.0,46.0,44.4,30.9,30.1,67.2,37.7,52.9,"Corvallis, Oregon, 97331, United States",,,,,,United States,Corvallis,44.5645659,-123.2620435
386,351,university perugia,24830,32.3,6.0,57.0,44.4,18.6,22.8,87.5,45.2,44.6,"Piazza Università 1, Perugia, 06123, Italy",,,,,,Italy, Perugia,43.1070321,12.402996209906489
387,351,university pisa,33726,22.4,6.0,51.0,44.4,31.2,26.5,74.3,40.5,40.9,"Lungarno Pacinotti 43, Pisa, 56126, Italy",,,,,,Italy, Pisa,43.7159395,10.4018624
388,351,rmit university,33848,22.4,30.0,47.0,44.4,25.7,26.1,64.5,42.5,91.8,"124 La Trobe Street, Melbourne, Victoria, VIC 3000, Australia",,,,,,Australia, Melbourne,-37.8142176,144.9631608
389,351,university salerno,24290,25.8,2.0,56.0,44.4,20.2,19.5,94.0,37.3,33.9,"Via Giovanni Paolo II, 132, Fisciano Salerno, 84084, Italy",,,,,,Italy, Italy,42.6384261,12.674297
390,351,university stirling,9250,15.8,23.0,63.0,44.4,23.6,25.3,75.5,35.2,82.1,"Stirling, Stirling, FK9 4LA, United Kingdom",,,,,,United Kingdom,Stirling,56.1181242,-3.9360012
391,351,suny university albany,15947,16.6,10.0,52.0,44.4,24.0,35.4,72.8,40.1,49.6,"1400 Washington Ave, Albany, New York, 12222, United States",,,,,,United States, Albany,42.6511674,-73.754968
392,351,swinburne university technology,14379,27.9,27.0,36.0,44.4,24.5,28.9,66.5,41.0,79.3,"PO Box 218, Hawthorn, Victoria, VIC 3122, Australia",,,,,,Australia, Hawthorn,-37.8244246,145.0317207
393,351,taipei medical university,5973,10.2,10.0,57.0,44.4,28.7,31.8,67.9,94.9,38.0,"250 Wuxing Street, Taipei, 11031, Taiwan",,,,,,Taiwan, Taipei,25.0375198,121.5636796
394,351,technische universitat dortmund,34267,108.8,10.0,45.0,44.4,37.6,41.4,54.2,45.8,42.2,"August-Schmidt-Straße 4, Dortmund, 44227, Germany",,,,,,Germany, Dortmund,51.5142273,7.4652789
395,351,university turku,12785,16.3,6.0,63.0,44.4,27.1,30.8,73.5,37.3,52.6,"Turku, 20014, Finland",,,,,,Finland,Turku,60.4517531,22.2670522
397,351,universite de versailles saint quentin en yvelines,16621,21.2,15.0,59.0,44.4,17.3,21.1,89.9,35.4,64.2,"55 avenue de Paris, Versailles, 78035, France",,,,,,France, Versailles,48.8035403,2.1266886
398,351,washington state university,27957,18.1,7.0,52.0,44.4,30.7,28.6,71.8,48.4,49.3,"P.O. Box 645910, Pullman, Washington, 99164, United States",,,,,,United States, Pullman,46.7304268,-117.173895
399,351,wayne state university,22295,11.3,9.0,55.0,44.4,33.3,18.1,83.3,45.4,37.6,"Detroit, Michigan, 48202, United States",,,,,,United States,Detroit,42.3315509,-83.0466403
400,351,wuhan university,52502,14.6,7.0,,44.4,44.0,34.0,52.5,84.7,40.4,"Luo-jia-shan, Wuchang, Wuhan, Hubei, 430072, China",,,,,,China, Wuchang,30.5566998,114.3109847
401,401,aberystwyth university,6865,16.2,19.0,49.0,42.3,24.8,22.9,66.3,39.7,78.1,"Reception, Penglais, Aberystwyth, Ceredigion, SY23 3FL, United Kingdom",,,,,,United Kingdom, Aberystwyth,52.4143113,-4.0816846
402,401,university alabama,35120,22.5,4.0,56.0,42.3,26.9,22.4,77.4,35.3,28.9,"719 University Boulevard, Tuscaloosa, Alabama, AL 35487, United States",,,,,,United States, Tuscaloosa,33.2095614,-87.5675258
403,401,american university,11750,11.0,12.0,65.0,42.3,40.9,19.5,65.7,39.1,32.3,"4400 Massachusetts Avenue, NW, Washington, District of Columbia, 20016, United States",,,,,,United States, Washington,38.8950368,-77.0365427
404,401,aswan university,22393,40.8,0.0,59.0,42.3,11.9,8.7,100.0,34.4,44.6,"Airport Road, Desert City, 81528, Egypt",,,,,,Egypt, Egypt,26.2540493,29.2675469
405,401,bangor university,9590,16.4,23.0,58.0,42.3,22.4,20.7,66.3,35.7,81.8,"Bangor, Gwynedd, LL57 2DG, United Kingdom",,,,,,United Kingdom,Bangor,53.2277187,-4.1268822
406,401,university bari aldo moro,29564,20.5,1.0,61.0,42.3,16.7,17.1,87.3,36.2,32.2,"Piazza Umberto I, Bari, 70121, Italy",,,,,,Italy, Bari,41.1257843,16.8620293
407,401,bond university,3341,10.3,43.0,54.0,42.3,21.1,19.6,64.6,35.9,89.2,"14 University Drive, Robina, Queensland, QLD 4226, Australia",,,,,,Australia, Robina,-28.0705635,153.39163957932692
408,401,university bordeaux,54965,21.6,13.0,58.0,42.3,30.0,22.7,66.8,36.4,58.4,"146 rue Léo Saignat, S 61292, Bordeaux, 33 076, France",,,,,,France, Bordeaux,44.841225,-0.5800364
409,401,bournemouth university,13690,17.1,18.0,55.0,42.3,33.2,18.7,55.5,34.8,79.8,"Fern Barrow, Poole, Dorset, BH12 5BB, United Kingdom",,,,,,United Kingdom, Poole,50.74020055,-1.9537512539581008
411,401,cankaya university,9164,28.4,2.0,45.0,42.3,14.9,11.4,99.7,34.9,43.2,"Eskisehir Yolu 29. Km Yukar?yurtcu Mahallesi, Mahallesi Mimar Sinan, Ankara, 06790, Turkey",,,,,,Turkey, Ankara,39.9207886,32.8540482
412,401,centrale nantes,1706,16.1,45.0,26.0,42.3,30.4,29.6,48.6,83.2,84.1,"1 rue de la Noë, Nantes, Pays de la Loire, 44321, France",,,,,,France, Nantes,47.2186371,-1.5541362
413,401,central south university,51546,18.4,2.0,,42.3,32.0,33.9,56.0,84.1,26.0,"932 South Lushan Rd, Changsha, Hunan, 410083, China",,,,,,China, Changsha,28.1450774,113.2384362
415,401,city university london,14360,18.5,51.0,56.0,42.3,26.1,27.8,57.7,35.5,94.9,"Northampton Square, London, EC1V 0HB, United Kingdom",,,,,,United Kingdom, London,51.5073359,-0.12765
416,401,colorado state university fort collins 0,26014,16.3,6.0,53.0,42.3,27.8,25.3,64.1,38.4,38.4,"Fort Collins, Colorado, 80523, United States",,,,,,United States,Fort Collins,40.5508527,-105.0668085
418,401,covenant university,8768,15.7,0.0,43.0,42.3,27.2,14.7,78.4,43.8,26.2,"KM. 10 Idiroko Road, Canaan Land, Ota, Ogun State, 112104, Nigeria",,,,,,Nigeria, Ota,6.966667,6.7
419,401,university cyprus,6635,22.0,11.0,66.0,42.3,24.0,24.6,62.3,47.7,81.0,"1 Panepistimiou Avenue, Aglantzia, Nicosia, Cyprus",,,,,,Cyprus, Nicosia,35.1748976,33.3638568
420,401,university desarrollo,15384,19.0,4.0,56.0,42.3,13.5,8.8,99.1,36.8,48.1,"Av. Plaza 680 San Carlos de Apoquindo, Las Condes, Santiago, 7610658, Chile",,,,,,Chile, Santiago,-33.4377756,-70.6504502
421,401,universidad diego portales,17287,14.9,2.0,49.0,42.3,14.7,10.5,95.3,34.4,50.4,"Manuel Rodríguez Sur 415, Santiago, Región Metropolitana, Chile",,,,,,Chile, Santiago,-33.4377756,-70.6504502
422,401,drexel university,19801,11.1,17.0,50.0,42.3,35.8,20.4,64.7,41.5,50.3,"3141 Chestnut Street, Philadelphia, Pennsylvania, 19104, United States",,,,,,United States, Philadelphia,39.9527237,-75.1635262
425,401,edith cowan university,17560,31.3,26.0,60.0,42.3,18.7,21.9,67.8,39.1,82.9,"270 Joondalup Drive, Joondalup, Western Australia, WA 6027, Australia",,,,,,Australia, Joondalup,-31.77955,115.76474475668536
427,401,university ferrara,14644,25.2,7.0,56.0,42.3,21.0,20.2,75.0,40.3,45.5,"via Ludovico Ariosto, 35, Ferrara, 44121, Italy",,,,,,Italy, Ferrara,44.76676425,11.827938995640167
428,401,free university bozen bolzano,3891,12.0,13.0,67.0,42.3,20.6,13.1,77.9,35.4,76.4,"Piazza Universita, 1, Bozen-Bolzano, 39100, Italy",,,,,,Italy, Italy,42.6384261,12.674297
429,401,fujita health university,2942,3.2,0.0,55.0,42.3,24.5,9.7,91.1,36.8,18.6,"1-98 Dengakugakubo, Kutsukake-cho, Toyoake, Aichi, 470-1192, Japan",,,,,,Japan, Toyoake,35.05936,137.013714
430,401,universita degli studi di genova,23977,19.5,9.0,55.0,42.3,32.1,23.1,63.8,42.9,43.9,"Via Balbi, 5, Genova, 16126, Italy",,,,,,Italy, Italy,42.6384261,12.674297
432,401,georgia state university,29290,14.4,6.0,61.0,42.3,33.9,27.2,62.9,35.4,41.9,"P.O. Box 3965, Atlanta, Georgia, 30302-3965, United States",,,,,,United States, Atlanta,33.7489924,-84.3902644
433,401,gwangju institute science and technology gist,2098,12.1,6.0,25.0,42.3,40.0,39.3,39.3,57.0,33.9,"123 Cheomdangwagi-ro, Buk-gu, Gwangju, 61005, South Korea",,,,,,South Korea, Gwangju,35.1594647,126.8515034
434,401,harbin institute technology,29603,9.9,12.0,32.0,42.3,39.5,36.8,44.0,99.3,36.7,"92 West Dazhi Street, Nangang District, Harbin, Heilongjiang, 150001, China",,,,,,China, Harbin,45.8016143,126.5287796
435,401,hokkaido university,18225,8.1,11.0,31.0,42.3,45.7,40.1,30.0,58.7,39.2,"Kita 8 Nishi 5, Kita-ku, Sapporo, Hokkaido, 060-0808, Japan",,,,,,Japan, Sapporo,43.061936,141.3542924
436,401,hong kong baptist university,8759,11.6,45.0,65.0,42.3,27.9,22.0,58.1,38.4,97.6,"Kowloon Tong, Kowloon, Hong Kong",,,,,,Hong Kong, Kowloon,22.2965739,114.1729841
437,401,university houston,44128,25.7,9.0,50.0,42.3,33.6,25.9,58.0,36.8,42.5,"4800 Calhoun Road, Houston, Texas, 77004-2693, United States",,,,,,United States, Houston,29.7589382,-95.3676974
438,401,hunan university,40715,20.4,2.0,46.0,42.3,23.6,24.1,74.9,52.6,22.4,"2 Lushan South Road, Yuelu, Changsha, Hunan, China",,,,,,China, Changsha,28.1450774,113.2384362
439,401,indian institute technology bombay,10267,16.1,1.0,19.0,42.3,44.7,39.6,34.9,80.3,21.0,"Powai, Mumbai, 400076, India",,,,,,India,Powai,19.1187195,72.9073476
440,401,indian institute technology delhi,7284,14.8,1.0,20.0,42.3,48.5,27.9,49.0,73.9,17.6,"Hauz Khas, New Delhi, 110016, India",,,,,,India, New Delhi,28.6138954,77.2090057
441,401,indian institute technology kharagpur,9167,12.3,0.0,18.0,42.3,41.3,38.9,39.0,91.9,18.8,"Kharagpur, 721302, India",,,,,,India,Kharagpur,25.133173050000003,86.52504036339789
444,401,university kansas,24526,9.9,9.0,52.0,42.3,36.9,22.6,68.3,43.5,35.4,"1502 Iowa Street, Kansas, 66045, United States",,,,,,United States, Kansas,38.27312,-98.5821872
446,401,university kwazulu natal,36660,29.2,4.0,58.0,42.3,25.4,28.7,70.1,36.8,55.0,"Private Bag X 54001, University Road, Westville, Durban, 4000, South Africa",,,,,,South Africa, Westville,-29.8244444,30.9386111
447,401,kyushu university,18643,8.8,13.0,28.0,42.3,44.2,39.2,34.3,75.3,38.8,"744 Motooka Nishi-ku, Fukuoka, 819-0395, Japan",,,,,,Japan, Fukuoka,33.6251241,130.6180016
448,401,leibniz university hannover,27625,54.0,14.0,40.0,42.3,36.8,29.9,46.1,52.3,48.6,"Welfengarten 1, Hannover, D-30167, Germany",,,,,,Germany, Hannover,52.3744779,9.7385532
450,401,liverpool john moores university,19460,17.4,14.0,53.0,42.3,17.7,17.5,78.2,34.9,71.8,"Ground Floor Exchange Station, Tithebarn Street, Liverpool, Merseyside, L2 2QP, United Kingdom",,,,,,United Kingdom, Liverpool,53.4071991,-2.99168
451,401,mansoura university,140126,24.9,3.0,55.0,42.3,19.1,9.2,88.1,39.6,44.3,"Elgomhouria Street, Mansoura, Dakahlia, 35516, Egypt",,,,,,Egypt, Egypt,26.2540493,29.2675469
452,401,middlesex university,15650,18.0,45.0,60.0,42.3,19.4,17.3,74.2,34.6,88.3,"The Burroughs, Barnet, London, NW4 4BT, United Kingdom",,,,,,United Kingdom, Barnet,51.65309,-0.2002261
453,401,university milan bicocca,26509,28.9,6.0,62.0,42.3,23.7,20.2,80.7,39.1,44.3,"Piazza dell'Ateneo Nuovo 1, Milano, 20126, Italy",,,,,,Italy, Italy,42.6384261,12.674297
454,401,university missouri st louis,7019,16.0,6.0,58.0,42.3,30.0,24.7,70.3,40.4,40.6,"1 University Blvd, St. Louis, Missouri, 63121-440, United States",,,,,,United States, St. Louis,38.6280278,-90.1910154
455,401,mizzou university missouri,28513,13.3,6.0,53.0,42.3,34.9,24.2,65.7,35.5,39.9,"Columbia, Missouri, 65211, United States",,,,,,United States,Columbia,34.0007493,-81.0343313
456,401,university modena and reggio emilia,17432,24.8,6.0,54.0,42.3,32.1,19.7,69.3,43.5,39.2,"Via Università 4, Modena, 41121, Italy",,,,,,Italy, Modena,44.5384728,10.93596087053074
457,401,murdoch university,14905,27.7,37.0,60.0,42.3,18.5,24.9,61.9,51.0,90.8,"90 South Street, Murdoch, Western Australia, WA 6150, Australia",,,,,,Australia, Murdoch,-32.0664255,115.8504737
459,401,university nebraska lincoln,24610,17.2,11.0,48.0,42.3,30.1,28.0,63.2,38.6,56.7,"1400 R Street, Lincoln, Nebraska, 68588, United States",,,,,,United States, Lincoln,40.8088861,-96.7077751
460,401,new mexico institute mining and technology,1809,11.3,8.0,30.0,42.3,22.3,14.6,70.6,78.1,62.9,"801 Leroy Place, Socorro, New Mexico, 87801, United States",,,,,,United States, Socorro,34.0572858,-106.8930799
461,401,norwegian university science and technology,35181,15.8,8.0,48.0,42.3,26.2,28.3,64.3,38.5,62.2,"Trondheim, NO-7491, Norway",,,,,,Norway,Trondheim,63.4304475,10.3952118
462,401,oklahoma state university,21494,15.8,7.0,50.0,42.3,24.1,21.5,71.1,36.9,44.3,"Stillwater, Oklahoma, 74078, United States",,,,,,United States,Stillwater,36.1156306,-97.0585717
463,401,university pavia,24623,41.5,8.0,56.0,42.3,24.6,25.7,65.5,55.5,47.0,"Strada Nuova 65, Pavia, 27100, Italy",,,,,,Italy, Pavia,45.03685465,9.137825082826026
465,401,university philippines,39877,8.4,1.0,58.0,42.3,24.1,17.2,86.9,39.4,37.9,"Diliman, Quezon City, 1102, Philippines",,,,,,Philippines, Quezon City,14.6504951,121.0490906
466,401,polytechnic university bari,6122,24.4,1.0,33.0,42.3,17.3,22.1,84.1,37.1,30.9,"Via Giovanni Amendola, 126/B, Bari, 70126, Italy",,,,,,Italy, Bari,41.1257843,16.8620293
467,401,pontifical javeriana university,30048,15.4,1.0,55.0,42.3,15.3,8.9,98.6,34.8,44.6,"Carrera 7 No. 40 - 62, Bogota, Distrito Capital, Colombia",,,,,,Colombia, Bogota,4.6529539,-74.0835643
468,401,university porto,32020,18.7,15.0,55.0,42.3,27.4,27.9,62.1,38.7,53.9,"Praça Gomes Teixeira, Porto, 4099-002, Portugal",,,,,,Portugal, Porto,41.1494512,-8.6107884
469,401,university portsmouth,20185,15.4,26.0,45.0,42.3,17.8,16.2,71.0,34.9,87.7,"University House, Winston Churchill Avenue, Portsmouth, Hampshire, PO1 2UP, United Kingdom",,,,,,United Kingdom, Portsmouth,50.8036831,-1.075614
471,401,quaid i azam university,14694,24.8,1.0,57.0,42.3,20.5,18.6,81.5,34.4,45.5,"Islamabad, 45320, Pakistan",,,,,,Pakistan,Islamabad,33.6938118,73.0651511
472,401,rensselaer polytechnic institute,7798,15.6,20.0,32.0,42.3,30.0,28.7,58.9,67.0,52.1,"110 Eighth Street, Troy, New York, 12180, United States",,,,,,United States, Troy,42.7284117,-73.6917878
473,401,royal veterinary college,2065,10.9,19.0,78.0,42.3,27.2,18.3,69.1,43.5,86.6,"Royal College Street, Camden, London, NW1 0TU, United Kingdom",,,,,,United Kingdom, Camden,51.54279655,-0.1624803135779896
474,401,sabanci university,3605,21.5,9.0,37.0,42.3,27.8,35.3,55.8,65.4,52.0,"Orta Mahalle, Tuzla, Istanbul, 34956, Turkey",,,,,,Turkey, Tuzla,41.081749,30.644102
476,401,university saskatchewan,17194,17.7,20.0,56.0,42.3,35.9,26.9,48.1,59.2,72.6,"105 Administration Place, Saskatoon, Saskatchewan, S7N 5A2, Canada",,,,,,Canada, Saskatoon,52.131802,-106.660767
478,401,sejong university,12119,17.0,10.0,47.0,42.3,23.4,20.8,75.4,40.0,42.6,"209 Neungdong-ro, Gwangjin-gu, Seoul, South Korea",,,,,,South Korea, Seoul,37.5666791,126.9782914
480,401,university siena,12636,14.8,8.0,59.0,42.3,37.9,21.6,67.6,37.5,43.1,"via Banchi di Sotto 55, Siena, 53100, Italy",,,,,,Italy, Siena,43.1672254,11.467181161339118
481,401,soas university london,5195,12.1,53.0,65.0,42.3,41.9,37.7,31.2,34.4,79.5,"Thornhaugh Street, Russell Square, London, Camden, WC1H 0XG, United Kingdom",,,,,,United Kingdom, London,51.5073359,-0.12765
